id,customer_id,order_date,product,pack_size,channel,segment,subscription
O00041,C3612,2025-10-06,bar,12-bar box,d2c,beginner,no
O00042,C0241,2025-10-07,bar,12-bar box,d2c,weight_loss,no
O00043,C0503,2025-10-07,bar,12-bar box,marketplace,weight_loss,no
O00044,C0825,2025-10-07,bar,12-bar box,d2c,vegetarian,no
O00045,C0918,2025-10-07,bar,12-bar box,d2c,weight_loss,no
O00046,C1351,2025-10-07,bar,12-bar box,d2c,endurance,no
O00047,C2056,2025-10-07,bar,12-bar box,marketplace,gym_regular,no
O00048,C2272,2025-10-07,bar,12-bar box,marketplace,gym_regular,no
O00049,C3017,2025-10-07,bar,12-bar box,d2c,vegetarian,no
O00050,C3981,2025-10-07,bar,12-bar box,d2c,beginner,no
O00051,C0296,2025-10-08,bar,12-bar box,d2c,beginner,no
O00052,C0697,2025-10-08,bar,12-bar box,marketplace,beginner,no
O00053,C1128,2025-10-08,bar,12-bar box,d2c,beginner,no
O00054,C2118,2025-10-08,bar,12-bar box,marketplace,gym_regular,no
O00055,C2352,2025-10-08,bar,12-bar box,d2c,gym_regular,no
O00056,C2366,2025-10-08,bar,12-bar box,d2c,beginner,no
O00057,C2601,2025-10-08,bar,12-bar box,marketplace,beginner,no
O00058,C3319,2025-10-08,bar,12-bar box,d2c,beginner,no
O00059,C1266,2025-10-09,bar,12-bar box,d2c,weight_loss,no
O00060,C1392,2025-10-09,bar,12-bar box,d2c,gym_regular,no
O00061,C3909,2025-10-09,bar,12-bar box,marketplace,beginner,no
O00062,C0129,2025-10-10,bar,12-bar box,d2c,beginner,no
O00063,C0203,2025-10-10,bar,12-bar box,d2c,weight_loss,no
O00064,C1851,2025-10-10,bar,12-bar box,marketplace,gym_regular,no
O00065,C2469,2025-10-10,bar,12-bar box,d2c,beginner,no
O00066,C2619,2025-10-10,bar,12-bar box,d2c,weight_loss,no
O00067,C3316,2025-10-10,bar,12-bar box,marketplace,gym_regular,no
O00068,C3741,2025-10-10,bar,12-bar box,d2c,weight_loss,no
O00069,C3760,2025-10-10,bar,12-bar box,d2c,gym_regular,no
O00070,C0340,2025-10-11,bar,12-bar box,d2c,vegetarian,no
O00071,C0410,2025-10-11,bar,12-bar box,d2c,weight_loss,no
O00072,C1072,2025-10-11,bar,12-bar box,d2c,gym_regular,no
O00073,C3233,2025-10-11,bar,12-bar box,marketplace,beginner,no
O00074,C3299,2025-10-11,bar,12-bar box,marketplace,beginner,no
O00075,C0864,2025-10-12,bar,12-bar box,marketplace,vegetarian,no
O00076,C1182,2025-10-12,bar,12-bar box,d2c,endurance,no
O00077,C1452,2025-10-12,bar,12-bar box,d2c,gym_regular,no
O00078,C2295,2025-10-12,bar,12-bar box,marketplace,gym_regular,no
O00079,C2542,2025-10-12,bar,12-bar box,marketplace,gym_regular,no
O00080,C3231,2025-10-12,bar,12-bar box,d2c,vegetarian,no
O00081,C3478,2025-10-12,bar,12-bar box,d2c,gym_regular,no
O00082,C3998,2025-10-12,bar,12-bar box,d2c,gym_regular,no
O00083,C0051,2025-10-13,bar,12-bar box,d2c,gym_regular,no
O00084,C1864,2025-10-13,bar,12-bar box,d2c,weight_loss,no
O00085,C2644,2025-10-13,bar,12-bar box,d2c,vegetarian,no
O00086,C3577,2025-10-13,bar,12-bar box,d2c,vegetarian,no
O00087,C0754,2025-10-14,bar,12-bar box,d2c,beginner,no
O00088,C0807,2025-10-14,bar,12-bar box,marketplace,beginner,no
O00089,C1798,2025-10-14,bar,12-bar box,marketplace,weight_loss,no
O00090,C2161,2025-10-14,bar,12-bar box,marketplace,beginner,no
O00091,C2818,2025-10-14,bar,12-bar box,marketplace,weight_loss,no
O00092,C3049,2025-10-14,bar,12-bar box,marketplace,endurance,no
O00093,C3135,2025-10-14,bar,12-bar box,marketplace,gym_regular,no
O00094,C3308,2025-10-14,bar,12-bar box,d2c,beginner,no
O00095,C3315,2025-10-14,bar,12-bar box,marketplace,gym_regular,no
O00096,C0349,2025-10-15,bar,12-bar box,marketplace,endurance,no
O00097,C0866,2025-10-15,bar,12-bar box,d2c,endurance,no
O00098,C1281,2025-10-15,bar,12-bar box,marketplace,gym_regular,no
O00099,C1380,2025-10-15,bar,12-bar box,marketplace,weight_loss,no
O00100,C1410,2025-10-15,bar,12-bar box,d2c,beginner,no
O00101,C1500,2025-10-15,bar,12-bar box,d2c,vegetarian,no
O00102,C2120,2025-10-15,bar,12-bar box,d2c,vegetarian,no
O00103,C2443,2025-10-15,bar,12-bar box,marketplace,endurance,no
O00104,C2583,2025-10-15,bar,12-bar box,marketplace,gym_regular,no
O00105,C3471,2025-10-15,bar,12-bar box,marketplace,beginner,no
O00106,C3476,2025-10-15,bar,12-bar box,d2c,beginner,no
O00107,C3682,2025-10-15,bar,12-bar box,marketplace,weight_loss,no
O00108,C0249,2025-10-16,bar,12-bar box,marketplace,vegetarian,no
O00109,C0431,2025-10-16,bar,12-bar box,marketplace,gym_regular,no
O00110,C0465,2025-10-16,bar,12-bar box,d2c,vegetarian,no
O00111,C0676,2025-10-16,bar,12-bar box,d2c,weight_loss,no
O00112,C0819,2025-10-16,bar,12-bar box,marketplace,beginner,no
O00113,C1741,2025-10-16,bar,12-bar box,marketplace,vegetarian,no
O00114,C2468,2025-10-16,bar,12-bar box,marketplace,endurance,no
O00115,C3814,2025-10-16,bar,12-bar box,d2c,weight_loss,no
O00116,C3821,2025-10-16,bar,12-bar box,d2c,beginner,no
O00117,C0318,2025-10-17,bar,12-bar box,d2c,beginner,no
O00118,C0422,2025-10-17,bar,12-bar box,marketplace,endurance,no
O00119,C1046,2025-10-17,bar,12-bar box,d2c,gym_regular,no
O00120,C1786,2025-10-17,bar,12-bar box,marketplace,vegetarian,no
O00121,C2189,2025-10-17,bar,12-bar box,marketplace,vegetarian,no
O00122,C3317,2025-10-17,bar,12-bar box,marketplace,weight_loss,no
O00123,C3730,2025-10-17,bar,12-bar box,d2c,vegetarian,no
O00124,C0123,2025-10-18,bar,12-bar box,d2c,gym_regular,no
O00125,C1095,2025-10-18,bar,12-bar box,marketplace,beginner,no
O00126,C1491,2025-10-18,bar,12-bar box,marketplace,gym_regular,no
O00127,C1953,2025-10-18,bar,12-bar box,marketplace,vegetarian,no
O00128,C2400,2025-10-18,bar,12-bar box,d2c,beginner,no
O00129,C3623,2025-10-18,bar,12-bar box,marketplace,gym_regular,no
O00130,C3791,2025-10-18,bar,12-bar box,d2c,weight_loss,no
O00131,C0372,2025-10-19,bar,12-bar box,d2c,weight_loss,no
O00132,C0640,2025-10-19,bar,12-bar box,d2c,vegetarian,no
O00133,C0800,2025-10-19,bar,12-bar box,marketplace,gym_regular,no
O00134,C1239,2025-10-19,bar,12-bar box,d2c,gym_regular,no
O00135,C1722,2025-10-19,bar,12-bar box,marketplace,weight_loss,no
O00136,C1962,2025-10-19,bar,12-bar box,d2c,beginner,no
O00137,C2031,2025-10-19,bar,12-bar box,marketplace,beginner,no
O00138,C2397,2025-10-19,bar,12-bar box,marketplace,vegetarian,no
O00139,C2791,2025-10-19,bar,12-bar box,d2c,vegetarian,no
O00140,C3178,2025-10-19,bar,12-bar box,d2c,beginner,no
O00141,C3782,2025-10-19,bar,12-bar box,marketplace,weight_loss,no
O00142,C3986,2025-10-19,bar,12-bar box,marketplace,beginner,no
O00143,C0407,2025-10-20,bar,12-bar box,d2c,weight_loss,no
O00144,C1097,2025-10-20,bar,12-bar box,marketplace,weight_loss,no
O00145,C2954,2025-10-20,bar,12-bar box,marketplace,vegetarian,no
O00146,C3054,2025-10-20,bar,12-bar box,marketplace,gym_regular,no
O00147,C3092,2025-10-20,bar,12-bar box,d2c,gym_regular,no
O00148,C0578,2025-10-21,bar,12-bar box,marketplace,beginner,no
O00149,C0839,2025-10-21,bar,12-bar box,marketplace,weight_loss,no
O00150,C0973,2025-10-21,bar,12-bar box,d2c,gym_regular,no
O00151,C1395,2025-10-21,bar,12-bar box,marketplace,weight_loss,no
O00152,C1792,2025-10-21,bar,12-bar box,d2c,beginner,no
O00153,C1890,2025-10-21,bar,12-bar box,marketplace,weight_loss,no
O00154,C2892,2025-10-21,bar,12-bar box,marketplace,weight_loss,no
O00155,C2961,2025-10-21,bar,12-bar box,d2c,beginner,no
O00156,C3576,2025-10-21,bar,12-bar box,marketplace,gym_regular,no
O00157,C3841,2025-10-21,bar,12-bar box,marketplace,gym_regular,no
O00158,C0711,2025-10-22,bar,12-bar box,d2c,weight_loss,no
O00159,C0812,2025-10-22,bar,12-bar box,marketplace,vegetarian,no
O00160,C0981,2025-10-22,bar,12-bar box,marketplace,vegetarian,no
O00161,C1053,2025-10-22,bar,12-bar box,marketplace,weight_loss,no
O00162,C2415,2025-10-22,bar,12-bar box,marketplace,endurance,no
O00163,C2860,2025-10-22,bar,12-bar box,marketplace,gym_regular,no
O00164,C3629,2025-10-22,bar,12-bar box,d2c,weight_loss,no
O00165,C0031,2025-10-23,bar,12-bar box,marketplace,vegetarian,no
O00166,C0851,2025-10-23,bar,12-bar box,d2c,weight_loss,no
O00167,C0912,2025-10-23,bar,12-bar box,marketplace,vegetarian,no
O00168,C0952,2025-10-23,bar,12-bar box,marketplace,gym_regular,no
O00169,C1257,2025-10-23,bar,12-bar box,d2c,beginner,no
O00170,C1340,2025-10-23,bar,12-bar box,marketplace,weight_loss,no
O00171,C2197,2025-10-23,bar,12-bar box,marketplace,beginner,no
O00172,C2421,2025-10-23,bar,12-bar box,marketplace,beginner,no
O00173,C3536,2025-10-23,bar,12-bar box,marketplace,vegetarian,no
O00174,C3793,2025-10-23,bar,12-bar box,d2c,beginner,no
O00175,C0483,2025-10-24,bar,12-bar box,d2c,gym_regular,no
O00176,C1267,2025-10-24,bar,12-bar box,marketplace,gym_regular,no
O00177,C1728,2025-10-24,bar,12-bar box,marketplace,beginner,no
O00178,C2509,2025-10-24,bar,12-bar box,marketplace,weight_loss,no
O00179,C2709,2025-10-24,bar,12-bar box,marketplace,beginner,no
O00180,C0294,2025-10-25,bar,12-bar box,d2c,beginner,no
O00181,C0740,2025-10-25,bar,12-bar box,marketplace,gym_regular,no
O00182,C0822,2025-10-25,bar,12-bar box,d2c,gym_regular,no
O00183,C1730,2025-10-25,bar,12-bar box,marketplace,weight_loss,no
O00184,C1732,2025-10-25,bar,12-bar box,marketplace,weight_loss,no
O00185,C1789,2025-10-25,bar,12-bar box,d2c,weight_loss,no
O00186,C3311,2025-10-25,bar,12-bar box,marketplace,weight_loss,no
O00187,C3795,2025-10-25,bar,12-bar box,d2c,gym_regular,no
O00188,C0001,2025-10-26,bar,12-bar box,d2c,weight_loss,no
O00189,C0257,2025-10-26,bar,12-bar box,marketplace,weight_loss,no
O00190,C0929,2025-10-26,bar,12-bar box,marketplace,gym_regular,no
O00191,C0972,2025-10-26,bar,12-bar box,marketplace,endurance,no
O00192,C1396,2025-10-26,bar,12-bar box,marketplace,vegetarian,no
O00193,C1821,2025-10-26,bar,12-bar box,marketplace,beginner,no
O00194,C1980,2025-10-26,bar,12-bar box,d2c,gym_regular,no
O00195,C2220,2025-10-26,bar,12-bar box,marketplace,gym_regular,no
O00196,C2677,2025-10-26,bar,12-bar box,d2c,weight_loss,no
O00197,C3153,2025-10-26,bar,12-bar box,marketplace,gym_regular,no
O00198,C3572,2025-10-26,bar,12-bar box,d2c,gym_regular,no
O00199,C0099,2025-10-27,bar,12-bar box,marketplace,beginner,no
O00200,C0980,2025-10-27,bar,12-bar box,marketplace,gym_regular,no
O00201,C2854,2025-10-27,bar,12-bar box,d2c,gym_regular,no
O00202,C2887,2025-10-27,bar,12-bar box,marketplace,beginner,no
O00203,C3027,2025-10-27,bar,12-bar box,marketplace,weight_loss,no
O00204,C3349,2025-10-27,bar,12-bar box,d2c,endurance,no
O00205,C3409,2025-10-27,bar,12-bar box,d2c,gym_regular,no
O00206,C3465,2025-10-27,bar,12-bar box,marketplace,gym_regular,no
O00207,C3874,2025-10-27,bar,12-bar box,marketplace,vegetarian,no
O00208,C0177,2025-10-28,bar,12-bar box,marketplace,gym_regular,no
O00209,C0240,2025-10-28,bar,12-bar box,d2c,beginner,no
O00210,C0600,2025-10-28,bar,12-bar box,d2c,vegetarian,no
O00211,C0687,2025-10-28,bar,12-bar box,d2c,vegetarian,no
O00212,C1061,2025-10-28,bar,12-bar box,marketplace,weight_loss,no
O00213,C1891,2025-10-28,bar,12-bar box,marketplace,weight_loss,no
O00214,C2538,2025-10-28,bar,12-bar box,marketplace,beginner,no
O00215,C3585,2025-10-28,bar,12-bar box,d2c,vegetarian,no
O00216,C3659,2025-10-28,bar,12-bar box,marketplace,gym_regular,no
O00217,C3810,2025-10-28,bar,12-bar box,marketplace,gym_regular,no
O00218,C3866,2025-10-28,bar,12-bar box,marketplace,weight_loss,no
O00219,C0533,2025-10-29,bar,12-bar box,marketplace,endurance,no
O00220,C0810,2025-10-29,bar,12-bar box,marketplace,beginner,no
O00221,C0873,2025-10-29,bar,12-bar box,marketplace,endurance,no
O00222,C0876,2025-10-29,bar,12-bar box,marketplace,weight_loss,no
O00223,C1013,2025-10-29,bar,12-bar box,marketplace,gym_regular,no
O00224,C2572,2025-10-29,bar,12-bar box,marketplace,beginner,no
O00225,C2812,2025-10-29,bar,12-bar box,marketplace,gym_regular,no
O00226,C3069,2025-10-29,bar,12-bar box,d2c,beginner,no
O00227,C3667,2025-10-29,bar,12-bar box,marketplace,beginner,no
O00228,C3672,2025-10-29,bar,12-bar box,d2c,endurance,no
O00229,C0880,2025-10-30,bar,12-bar box,marketplace,vegetarian,no
O00230,C1614,2025-10-30,bar,12-bar box,marketplace,vegetarian,no
O00231,C2043,2025-10-30,bar,12-bar box,marketplace,beginner,no
O00232,C3075,2025-10-30,bar,12-bar box,marketplace,beginner,no
O00233,C3213,2025-10-30,bar,12-bar box,marketplace,beginner,no
O00234,C3869,2025-10-30,bar,12-bar box,marketplace,gym_regular,no
O00235,C0920,2025-10-31,bar,12-bar box,marketplace,gym_regular,no
O00236,C1427,2025-10-31,bar,12-bar box,marketplace,gym_regular,no
O00237,C2402,2025-10-31,bar,12-bar box,marketplace,beginner,no
O00238,C2460,2025-10-31,bar,12-bar box,d2c,gym_regular,no
O00239,C0518,2025-11-01,bar,12-bar box,marketplace,beginner,no
O00240,C1544,2025-11-01,bar,12-bar box,marketplace,weight_loss,no
O00241,C2511,2025-11-01,bar,12-bar box,d2c,beginner,no
O00242,C2537,2025-11-01,bar,12-bar box,marketplace,weight_loss,no
O00243,C2908,2025-11-01,bar,12-bar box,marketplace,vegetarian,no
O00244,C2947,2025-11-01,bar,12-bar box,d2c,weight_loss,no
O00245,C0070,2025-11-02,bar,12-bar box,marketplace,weight_loss,no
O00246,C0182,2025-11-02,bar,12-bar box,marketplace,vegetarian,no
O00247,C0492,2025-11-02,bar,12-bar box,d2c,vegetarian,no
O00248,C1569,2025-11-02,bar,12-bar box,marketplace,endurance,no
O00249,C1583,2025-11-02,bar,12-bar box,d2c,gym_regular,no
O00250,C1669,2025-11-02,bar,12-bar box,marketplace,vegetarian,no
O00251,C3531,2025-11-02,bar,12-bar box,d2c,endurance,no
O00252,C0909,2025-11-03,bar,12-bar box,d2c,beginner,no
O00253,C1632,2025-11-03,bar,12-bar box,marketplace,endurance,no
O00254,C2955,2025-11-03,bar,12-bar box,marketplace,gym_regular,no
O00255,C3312,2025-11-03,bar,12-bar box,marketplace,weight_loss,no
O00256,C3690,2025-11-03,bar,12-bar box,marketplace,gym_regular,no
O00257,C3867,2025-11-03,bar,12-bar box,d2c,weight_loss,no
O00258,C0084,2025-11-04,bar,12-bar box,d2c,vegetarian,no
O00259,C0369,2025-11-04,bar,12-bar box,marketplace,gym_regular,no
O00260,C0639,2025-11-04,bar,12-bar box,marketplace,beginner,no
O00261,C1055,2025-11-04,bar,12-bar box,d2c,beginner,no
O00262,C1129,2025-11-04,bar,12-bar box,marketplace,beginner,no
O00263,C1260,2025-11-04,bar,12-bar box,marketplace,beginner,no
O00264,C1516,2025-11-04,bar,12-bar box,d2c,endurance,no
O00265,C2041,2025-11-04,bar,12-bar box,d2c,weight_loss,no
O00266,C2701,2025-11-04,bar,12-bar box,marketplace,beginner,no
O00267,C3065,2025-11-04,bar,12-bar box,marketplace,vegetarian,no
O00268,C3071,2025-11-04,bar,12-bar box,marketplace,gym_regular,no
O00269,C3095,2025-11-04,bar,12-bar box,d2c,beginner,no
O00270,C3150,2025-11-04,bar,12-bar box,d2c,weight_loss,no
O00271,C3692,2025-11-04,bar,12-bar box,marketplace,beginner,no
O00272,C0007,2025-11-05,bar,12-bar box,marketplace,gym_regular,no
O00273,C0225,2025-11-05,bar,12-bar box,marketplace,vegetarian,no
O00274,C0289,2025-11-05,bar,12-bar box,marketplace,beginner,no
O00275,C0477,2025-11-05,bar,12-bar box,d2c,gym_regular,no
O00276,C0998,2025-11-05,bar,12-bar box,marketplace,endurance,no
O00277,C1135,2025-11-05,bar,12-bar box,marketplace,gym_regular,no
O00278,C1206,2025-11-05,bar,12-bar box,marketplace,endurance,no
O00279,C1936,2025-11-05,bar,12-bar box,d2c,vegetarian,no
O00280,C3216,2025-11-05,bar,12-bar box,marketplace,weight_loss,no
O00281,C0367,2025-11-06,bar,12-bar box,d2c,weight_loss,no
O00282,C0563,2025-11-06,bar,12-bar box,d2c,weight_loss,no
O00283,C1325,2025-11-06,bar,12-bar box,marketplace,gym_regular,no
O00284,C1761,2025-11-06,bar,12-bar box,d2c,weight_loss,no
O00285,C2023,2025-11-06,bar,12-bar box,marketplace,weight_loss,no
O00286,C2870,2025-11-06,bar,12-bar box,d2c,beginner,no
O00287,C3025,2025-11-06,bar,12-bar box,marketplace,vegetarian,no
O00288,C3309,2025-11-06,bar,12-bar box,d2c,gym_regular,no
O00289,C3449,2025-11-06,bar,12-bar box,marketplace,gym_regular,no
O00290,C3534,2025-11-06,bar,12-bar box,marketplace,gym_regular,no
O00291,C3535,2025-11-06,bar,12-bar box,marketplace,gym_regular,no
O00292,C3605,2025-11-06,bar,12-bar box,marketplace,gym_regular,no
O00293,C3966,2025-11-06,bar,12-bar box,marketplace,endurance,no
O00294,C0552,2025-11-07,bar,12-bar box,marketplace,weight_loss,no
O00295,C0732,2025-11-07,bar,12-bar box,d2c,gym_regular,no
O00296,C1006,2025-11-07,bar,12-bar box,d2c,beginner,no
O00297,C2428,2025-11-07,bar,12-bar box,marketplace,vegetarian,no
O00298,C3828,2025-11-07,bar,12-bar box,d2c,beginner,no
O00299,C0688,2025-11-08,bar,12-bar box,d2c,gym_regular,no
O00300,C0862,2025-11-08,bar,12-bar box,d2c,weight_loss,no
O00301,C1136,2025-11-08,bar,12-bar box,marketplace,beginner,no
O00302,C1222,2025-11-08,bar,12-bar box,marketplace,beginner,no
O00303,C2085,2025-11-08,bar,12-bar box,marketplace,weight_loss,no
O00304,C2611,2025-11-08,bar,12-bar box,marketplace,vegetarian,no
O00305,C3131,2025-11-08,bar,12-bar box,marketplace,beginner,no
O00306,C3185,2025-11-08,bar,12-bar box,d2c,vegetarian,no
O00307,C3857,2025-11-08,bar,12-bar box,d2c,vegetarian,no
O00308,C0250,2025-11-09,bar,12-bar box,marketplace,gym_regular,no
O00309,C0781,2025-11-09,bar,12-bar box,marketplace,gym_regular,no
O00310,C1170,2025-11-09,bar,12-bar box,d2c,weight_loss,no
O00311,C1299,2025-11-09,bar,12-bar box,marketplace,gym_regular,no
O00312,C1381,2025-11-09,bar,12-bar box,d2c,weight_loss,no
O00313,C2122,2025-11-09,bar,12-bar box,marketplace,beginner,no
O00314,C3764,2025-11-09,bar,12-bar box,d2c,beginner,no
O00315,C1116,2025-11-10,bar,12-bar box,marketplace,weight_loss,no
O00316,C1191,2025-11-10,bar,12-bar box,d2c,beginner,no
O00317,C1498,2025-11-10,bar,12-bar box,d2c,beginner,no
O00318,C2363,2025-11-10,bar,12-bar box,d2c,beginner,no
O00319,C3289,2025-11-10,bar,12-bar box,d2c,gym_regular,no
O00320,C1488,2025-11-11,bar,12-bar box,marketplace,vegetarian,no
O00321,C1532,2025-11-11,bar,12-bar box,marketplace,gym_regular,no
O00322,C1533,2025-11-11,bar,12-bar box,marketplace,gym_regular,no
O00323,C1721,2025-11-11,bar,12-bar box,marketplace,vegetarian,no
O00324,C2257,2025-11-11,bar,12-bar box,marketplace,weight_loss,no
O00325,C3034,2025-11-11,bar,12-bar box,marketplace,beginner,no
O00326,C3687,2025-11-11,bar,12-bar box,marketplace,vegetarian,no
O00327,C3787,2025-11-11,bar,12-bar box,marketplace,weight_loss,no
O00328,C0130,2025-11-12,bar,12-bar box,marketplace,beginner,no
O00329,C0233,2025-11-12,bar,12-bar box,d2c,beginner,no
O00330,C0828,2025-11-12,bar,12-bar box,d2c,endurance,no
O00331,C0899,2025-11-12,bar,12-bar box,d2c,weight_loss,no
O00332,C2174,2025-11-12,bar,12-bar box,d2c,gym_regular,no
O00333,C2431,2025-11-12,bar,12-bar box,d2c,weight_loss,no
O00334,C2562,2025-11-12,bar,12-bar box,marketplace,gym_regular,no
O00335,C2760,2025-11-12,bar,12-bar box,marketplace,beginner,no
O00336,C3650,2025-11-12,bar,12-bar box,marketplace,beginner,no
O00337,C0446,2025-11-13,bar,12-bar box,marketplace,gym_regular,no
O00338,C0923,2025-11-13,bar,12-bar box,marketplace,vegetarian,no
O00339,C1977,2025-11-13,bar,12-bar box,marketplace,beginner,no
O00340,C2802,2025-11-13,bar,12-bar box,marketplace,endurance,no
O00341,C3266,2025-11-13,bar,12-bar box,marketplace,beginner,no
O00342,C3982,2025-11-13,bar,12-bar box,marketplace,beginner,no
O00343,C0229,2025-11-14,bar,12-bar box,d2c,gym_regular,no
O00344,C2236,2025-11-14,bar,12-bar box,marketplace,beginner,no
O00345,C2721,2025-11-14,bar,12-bar box,marketplace,beginner,no
O00346,C2914,2025-11-14,bar,12-bar box,marketplace,beginner,no
O00347,C3261,2025-11-14,bar,12-bar box,d2c,weight_loss,no
O00348,C3797,2025-11-14,bar,12-bar box,marketplace,gym_regular,no
O00349,C0138,2025-11-15,bar,12-bar box,d2c,weight_loss,no
O00350,C0190,2025-11-15,bar,12-bar box,marketplace,endurance,no
O00351,C0619,2025-11-15,bar,12-bar box,marketplace,weight_loss,no
O00352,C0811,2025-11-15,bar,12-bar box,d2c,endurance,no
O00353,C0840,2025-11-15,bar,12-bar box,d2c,gym_regular,no
O00354,C1791,2025-11-15,bar,12-bar box,marketplace,vegetarian,no
O00355,C1839,2025-11-15,bar,12-bar box,marketplace,vegetarian,no
O00356,C3285,2025-11-15,bar,12-bar box,marketplace,beginner,no
O00357,C0026,2025-11-16,bar,12-bar box,d2c,gym_regular,no
O00358,C0587,2025-11-16,bar,12-bar box,marketplace,weight_loss,no
O00359,C0769,2025-11-16,bar,12-bar box,marketplace,gym_regular,no
O00360,C1492,2025-11-16,bar,12-bar box,d2c,weight_loss,no
O00361,C1874,2025-11-16,bar,12-bar box,marketplace,vegetarian,no
O00362,C1273,2025-11-17,bar,12-bar box,marketplace,gym_regular,no
O00363,C1306,2025-11-17,bar,12-bar box,marketplace,endurance,no
O00364,C1799,2025-11-17,bar,12-bar box,d2c,gym_regular,no
O00365,C2073,2025-11-17,bar,12-bar box,marketplace,beginner,no
O00366,C2207,2025-11-17,bar,12-bar box,d2c,beginner,no
O00367,C2680,2025-11-17,bar,12-bar box,marketplace,gym_regular,no
O00368,C2804,2025-11-17,bar,12-bar box,marketplace,weight_loss,no
O00369,C3326,2025-11-17,bar,12-bar box,marketplace,weight_loss,no
O00370,C3883,2025-11-17,bar,12-bar box,d2c,vegetarian,no
O00371,C2563,2025-11-18,bar,12-bar box,d2c,beginner,no
O00372,C2781,2025-11-18,bar,12-bar box,marketplace,gym_regular,no
O00373,C2903,2025-11-18,bar,12-bar box,marketplace,gym_regular,no
O00374,C0015,2025-11-19,bar,12-bar box,marketplace,weight_loss,no
O00375,C0102,2025-11-19,bar,12-bar box,d2c,gym_regular,no
O00376,C0490,2025-11-19,bar,12-bar box,d2c,beginner,no
O00377,C0495,2025-11-19,bar,12-bar box,d2c,beginner,no
O00378,C2578,2025-11-19,bar,12-bar box,marketplace,weight_loss,no
O00379,C2622,2025-11-19,bar,12-bar box,marketplace,gym_regular,no
O00380,C2820,2025-11-19,bar,12-bar box,d2c,endurance,no
O00381,C2880,2025-11-19,bar,12-bar box,marketplace,vegetarian,no
O00382,C3361,2025-11-19,bar,12-bar box,d2c,gym_regular,no
O00383,C0082,2025-11-20,bar,12-bar box,d2c,vegetarian,no
O00384,C0933,2025-11-20,bar,12-bar box,marketplace,beginner,no
O00385,C1050,2025-11-20,bar,12-bar box,d2c,beginner,no
O00386,C1698,2025-11-20,bar,12-bar box,marketplace,weight_loss,no
O00387,C3044,2025-11-20,bar,12-bar box,d2c,endurance,no
O00388,C3488,2025-11-20,bar,12-bar box,marketplace,endurance,no
